Date,Open,High,Low,Close,Volume,ticker,change%,avg_20_days_volume,volume%,buyhold_account_value,row_key,account_value,account_cum_max,drawdown,volume_threshold%,pct_threshold%,holding_days,sell_condition,sell_signal,sell_waiting_days,waiting_days_count,actual_sell,holding_days_count,block_identifier,buy_signal,pct_change,max_drawdown,strategy_max_drawdown(%),strategy_cagr%,strategy_calmar
2019-04-22,17.93,17.98,17.5,17.52,182.21,TSLA,-3.85,133.35,36.64,81.97,327,80.26,118.61,-32.34,20,-2,15,True,True,0,0,True,0,13,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-04-23,17.34,17.71,17.05,17.59,164.16,TSLA,0.44,133.89,22.6,82.33,328,79.9,118.61,-32.63,20,-2,15,False,False,0,0,False,1,13,False,0.44,-37.29,-86.36,-18.75,-0.22
2019-04-24,17.59,17.69,17.2,17.24,160.91,TSLA,-1.99,136.43,17.95,80.7,329,81.49,118.61,-31.3,20,-2,15,False,False,0,0,False,2,13,False,-1.99,-37.29,-86.36,-18.75,-0.22
2019-04-25,17.0,17.27,16.4,16.51,327.74,TSLA,-4.26,146.23,124.13,77.26,330,84.97,118.61,-28.37,20,-2,15,True,False,0,0,False,3,13,False,-4.26,-37.29,-86.36,-18.75,-0.22
2019-04-26,16.43,16.45,15.41,15.68,335.41,TSLA,-5.04,157.92,112.39,73.36,331,89.25,118.61,-24.75,20,-2,15,True,False,0,0,False,4,13,False,-5.04,-37.29,-86.36,-18.75,-0.22
2019-04-29,15.72,16.27,15.48,16.1,250.72,TSLA,2.69,165.96,51.07,75.33,332,86.85,118.61,-26.78,20,-2,15,False,False,0,0,False,5,13,False,2.69,-37.29,-86.36,-18.75,-0.22
2019-04-30,16.14,16.28,15.8,15.91,141.97,TSLA,-1.15,166.98,-14.98,74.47,333,87.85,118.61,-25.94,20,-2,15,False,False,0,0,False,6,13,False,-1.15,-37.29,-86.36,-18.75,-0.22
2019-05-01,15.92,16.0,15.43,15.6,160.57,TSLA,-1.96,170.9,-6.05,73.01,334,89.57,118.61,-24.48,20,-2,15,False,False,0,0,False,7,13,False,-1.96,-37.29,-86.36,-18.75,-0.22
2019-05-02,16.37,16.48,15.85,16.27,272.39,TSLA,4.31,178.58,52.53,76.16,335,85.71,118.61,-27.74,20,-2,15,False,False,0,0,False,8,13,False,4.31,-37.29,-86.36,-18.75,-0.22
2019-05-03,16.26,17.11,16.23,17.0,355.6,TSLA,4.48,178.57,99.14,79.57,336,81.87,118.61,-30.98,20,-2,15,False,False,0,0,False,9,13,False,4.48,-37.29,-86.36,-18.75,-0.22
2019-05-06,16.67,17.22,16.57,17.02,162.51,TSLA,0.12,176.91,-8.14,79.66,337,81.77,118.61,-31.06,20,-2,15,False,False,0,0,False,10,13,False,0.12,-37.29,-86.36,-18.75,-0.22
2019-05-07,17.12,17.15,16.34,16.47,151.97,TSLA,-3.24,176.7,-14.0,77.08,338,84.42,118.61,-28.82,20,-2,15,False,False,0,0,False,11,13,False,-3.24,-37.29,-86.36,-18.75,-0.22
